86.0, 10.0
34.0, 88.0
9.0, 27.0
27.0, 47.0
59.0, 77.0
50.0, 57.0
87.0, 98.0
13.0, 31.0
98.0, 99.0
86.0, 16.0
88.0, 1.0
75.0, 31.0
21.0, 54.0
41.0, 63.0
47.0, 84.0
14.0, 49.0
63.0, 53.0
4.0, 31.0
96.0, 56.0
76.0, 48.0
48.0, 54.0
32.0, 18.0
17.0, 11.0
28.0, 98.0
23.0, 5.0
90.0, 47.0
26.0, 73.0
90.0, 62.0
11.0, 60.0
76.0, 30.0
84.0, 32.0
5.0, 94.0
29.0, 26.0
98.0, 26.0
36.0, 66.0
72.0, 33.0
55.0, 57.0
87.0, 30.0
87.0, 13.0
37.0, 74.0
22.0, 64.0
21.0, 9.0
10.0, 58.0
6.0, 58.0
91.0, 86.0
19.0, 31.0
16.0, 36.0
67.0, 24.0
54.0, 29.0
22.0, 58.0
