67.0, 17.0
36.0, 39.0
50.0, 19.0
29.0, 95.0
65.0, 63.0
73.0, 88.0
55.0, 13.0
0.0, 73.0
6.0, 17.0
98.0, 29.0
42.0, 40.0
59.0, 80.0
58.0, 60.0
69.0, 42.0
7.0, 81.0
23.0, 88.0
55.0, 39.0
23.0, 15.0
81.0, 46.0
96.0, 5.0
30.0, 15.0
46.0, 39.0
54.0, 0.0
10.0, 89.0
54.0, 6.0
11.0, 76.0
2.0, 60.0
79.0, 36.0
40.0, 32.0
47.0, 98.0
85.0, 44.0
88.0, 75.0
9.0, 86.0
76.0, 70.0
73.0, 1.0
89.0, 58.0
4.0, 60.0
54.0, 37.0
58.0, 91.0
79.0, 30.0
78.0, 92.0
13.0, 52.0
73.0, 51.0
7.0, 50.0
23.0, 26.0
95.0, 58.0
2.0, 75.0
14.0, 33.0
15.0, 10.0
8.0, 1.0
