88.0, 13.0
36.0, 91.0
11.0, 30.0
29.0, 50.0
61.0, 80.0
52.0, 60.0
89.0, 101.0
15.0, 34.0
100.0, 102.0
88.0, 19.0
90.0, 4.0
77.0, 34.0
23.0, 57.0
43.0, 66.0
49.0, 87.0
16.0, 52.0
65.0, 56.0
6.0, 34.0
98.0, 59.0
78.0, 51.0
50.0, 57.0
34.0, 21.0
19.0, 14.0
30.0, 101.0
25.0, 8.0
92.0, 50.0
28.0, 76.0
92.0, 65.0
13.0, 63.0
78.0, 33.0
86.0, 35.0
7.0, 97.0
31.0, 29.0
100.0, 29.0
38.0, 69.0
74.0, 36.0
57.0, 60.0
89.0, 33.0
89.0, 16.0
39.0, 77.0
24.0, 67.0
23.0, 12.0
12.0, 61.0
8.0, 61.0
93.0, 89.0
21.0, 34.0
18.0, 39.0
69.0, 27.0
56.0, 32.0
24.0, 61.0
